153,976,340,978,340,1011,152,1008,GEORGETOWN
33,789,149,786,150,819,34,823,SPRINGS
615,362,680,326,688,341,623,377,VALUE
380,338,514,341,513,371,380,369,JACKSON
137,310,268,328,265,347,134,329,VICKSBURG
61,264,154,217,166,242,73,288,BOLTON
764,346,859,300,867,317,772,363,ALABAMA
186,278,284,227,300,257,201,308,CLINTON
593,340,686,289,699,313,606,364,BRAND
258,45,335,47,334,70,257,67,FLORA
602,975,668,915,682,930,616,990,ISLAND
476,593,525,632,512,649,463,610,GULF
770,948,880,946,881,976,771,978,MCGEE
4,978,102,973,103,997,6,1002,HURST
4,397,79,393,80,414,5,417,BOND
664,320,737,278,752,304,678,345,sp.o.
